Date/Time,Seed I/O 1 - Indoor RH (%),Seed I/O 1 - Indoor Temp (°F),Seed I/O 1 - GH #2 PAR (PAR),Seed I/O 1 - Heater 1,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutter,Seed I/O 1 - Roof Vent,Greenhouse #2 - Zone Temperature (°F),Greenhouse #2 - Zone Relative Humidity (%),Greenhouse #2 - Heating Setpoint (°F),Greenhouse #2 - Cooling Setpoint (°F),Greenhouse #2 - Rel Humidity Setpoint (%),
12/1/2018 01:00,91.84,56.99,0,34,60,0,0,56.99,91.84,55,80,70,
12/1/2018 01:15,84.72,57.71,0,0,56,0,0,57.71,84.71,55,80,70,
12/1/2018 01:30,90.42,57.12,0,29,56,0,0,57.12,90.42,55,80,70,
12/1/2018 01:45,83.03,58.44,0,0,60,0,0,58.44,83.03,55,80,70,
12/1/2018 02:00,89.58,55.38,0,60,60,0,0,55.38,89.58,55,80,70,
12/1/2018 02:15,82.34,58.63,0,0,60,0,0,58.63,82.34,55,80,70,
12/1/2018 02:30,88.86,55.15,0,56,56,0,0,55.15,88.86,55,80,70,
12/1/2018 02:45,82.92,58.35,0,0,60,0,0,58.35,82.92,55,80,70,
12/1/2018 03:00,89.23,55.26,0,59,59,0,0,55.27,89.23,55,80,70,
12/1/2018 03:15,82.72,59.21,0,0,59,0,0,59.21,82.72,55,80,70,
12/1/2018 03:30,88.86,55.27,0,60,60,0,0,55.27,88.86,55,80,70,
12/1/2018 03:45,83.72,59.73,0,0,60,0,0,59.74,83.71,55,80,70,
12/1/2018 04:00,88.93,56.55,0,0,60,0,0,56.55,88.94,55,80,70,
12/1/2018 04:15,93.52,55.93,0,60,60,0,0,55.93,93.52,55,80,70,
12/1/2018 04:30,86.73,60.08,0,0,58,0,0,60.08,86.73,55,80,70,
12/1/2018 04:45,86.21,58.43,0,0,59,0,0,58.43,86.21,55,80,70,
12/1/2018 05:00,90.36,56.83,0,0,60,0,0,56.83,90.36,55,80,70,
12/1/2018 05:15,92.56,56.67,0,0,60,0,0,56.67,92.56,55,80,70,
12/1/2018 05:30,94.6,55.56,0,56,56,0,0,55.56,94.6,55,80,70,
12/1/2018 05:45,96.03,56.78,0,24,56,0,0,56.79,96.03,55,80,70,
12/1/2018 06:00,87.2,59.97,0,0,56,0,0,59.97,87.2,55,80,70,
12/1/2018 06:15,88.86,57.97,0,0,56,0,0,57.98,88.86,55,80,70,
12/1/2018 06:30,92.43,56.43,0,0,60,0,0,56.43,92.43,55,80,70,
12/1/2018 06:45,95.06,55.85,0,60,60,0,0,55.85,95.06,55,80,70,
