Date/Time,Seed I/O 1 - Indoor RH (%),Seed I/O 1 - Indoor Temp (°F),Seed I/O 1 - PAR - Lettuce (PAR),Seed I/O 1 - Heater 1,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutter,Seed I/O 1 - Roof Vent,Greenhouse #1 - Zone Temperature (°F),Greenhouse #1 - Zone Relative Humidity (%),Greenhouse #1 - Heating Setpoint (°F),Greenhouse #1 - Cooling Setpoint (°F),Greenhouse #1 - Rel Humidity Setpoint (%),
12/1/2018 01:00,,,,,,,,57.31,83.06,55,80,70,
12/1/2018 01:15,,,,,,,,59.58,84.18,55,80,70,
12/1/2018 01:30,,,,,,,,55.48,86.26,55,80,70,
12/1/2018 01:45,,,,,,,,57.52,81.89,55,80,70,
12/1/2018 02:00,,,,,,,,58.58,85.63,55,80,70,
12/1/2018 02:15,,,,,,,,55.5,86.43,55,80,70,
12/1/2018 02:30,,,,,,,,56.14,84.31,55,80,70,
12/1/2018 02:45,,,,,,,,58.3,80.2,55,80,70,
12/1/2018 03:00,,,,,,,,58.35,85.98,55,80,70,
12/1/2018 03:15,,,,,,,,55.72,85.42,55,80,70,
12/1/2018 03:30,,,,,,,,57.35,81.1,55,80,70,
12/1/2018 03:45,,,,,,,,59.51,84.31,55,80,70,
12/1/2018 04:00,,,,,,,,56.02,87.85,55,80,70,
12/1/2018 04:15,,,,,,,,59.72,83.89,55,80,70,
12/1/2018 04:30,,,,,,,,56.72,87.72,55,80,70,
12/1/2018 04:45,,,,,,,,57.54,90.57,55,80,70,
12/1/2018 05:00,,,,,,,,57.93,84.49,55,80,70,
12/1/2018 05:15,,,,,,,,56.31,89.88,55,80,70,
12/1/2018 05:30,,,,,,,,55.95,91.56,55,80,70,
12/1/2018 05:45,,,,,,,,59.63,87.92,55,80,70,
12/1/2018 06:00,,,,,,,,57.61,85.73,55,80,70,
12/1/2018 06:15,,,,,,,,56.51,89.28,55,80,70,
12/1/2018 06:30,,,,,,,,55.95,91.41,55,80,70,
12/1/2018 06:45,,,,,,,,59.4,87.57,55,80,70,
12/1/2018 07:00,,,,,,,,59.51,81.96,56.4,80,65.32,
12/1/2018 07:15,,,,,,,,62.43,80.97,58,80,60,
12/1/2018 07:30,,,,,,,,60.67,86.73,58,80,60,
12/1/2018 07:45,,,,,,,,58.47,86.65,58,80,60,
12/1/2018 08:00,,,,,,,,60.6,81.57,58,80,60,
12/1/2018 08:15,,,,,,,,59.16,86.77,58,80,60,
12/1/2018 08:30,,,,,,,,59.25,86.08,58,80,60,
12/1/2018 08:45,,,,,,,,65.02,72.99,65,80,55,
12/1/2018 09:00,,,,,,,,65.26,75.54,65,80,55,
12/1/2018 09:15,,,,,,,,66,74.32,65,80,55,
12/1/2018 09:30,,,,,,,,69.63,72.02,65,80,55,
12/1/2018 09:45,,,,,,,,68.66,69.94,65,80,55,
12/1/2018 10:00,,,,,,,,71.06,69.62,65,80,55,
12/1/2018 10:15,,,,,,,,73.96,66.44,65,80,55,
12/1/2018 10:30,,,,,,,,76.07,64.15,65,80,55,
12/1/2018 10:45,,,,,,,,77.73,62.23,65,80,55,
12/1/2018 11:00,,,,,,,,79.14,60.57,65,80,55,
12/1/2018 11:15,,,,,,,,79.89,59.54,65,80,55,
12/1/2018 11:30,,,,,,,,80.79,57.85,65,80,55,
12/1/2018 11:45,,,,,,,,79.9,51.29,65,80,55,
12/1/2018 12:00,,,,,,,,81.94,50.85,65,80,55,
12/1/2018 12:15,,,,,,,,79.17,49.82,65,80,55,
12/1/2018 12:30,,,,,,,,79.24,45.73,65,80,55,
12/1/2018 12:45,,,,,,,,82.02,44.9,65,80,55,
12/1/2018 13:00,,,,,,,,77.74,51.84,65,80,55,
12/1/2018 13:15,,,,,,,,77.72,44.14,65,80,55,
12/1/2018 13:30,,,,,,,,80.17,40.4,65,80,55,
12/1/2018 13:45,,,,,,,,80.63,44.03,65,80,55,
12/1/2018 14:00,,,,,,,,80.47,46.04,65,80,55,
12/1/2018 14:15,,,,,,,,79.47,46.3,65,80,55,
12/1/2018 14:30,,,,,,,,79.23,42.49,65,80,55,
12/1/2018 14:45,,,,,,,,80.67,45.09,65,80,55,
12/1/2018 15:00,,,,,,,,81.73,44.31,65,80,55,
12/1/2018 15:15,,,,,,,,76.77,42.14,65,80,55,
12/1/2018 15:30,,,,,,,,81.56,45.86,65,80,55,
12/1/2018 15:45,,,,,,,,77.46,54.22,65,80,55,
12/1/2018 16:00,,,,,,,,73.72,62.91,65,80,55,
12/1/2018 16:15,,,,,,,,71.26,68.93,65,80,55,
12/1/2018 16:30,,,,,,,,69,73.61,65,80,55,
12/1/2018 16:45,,,,,,,,67.02,75.61,65,80,55,
12/1/2018 17:00,,,,,,,,67.82,71.81,65,80,55,
12/1/2018 17:15,,,,,,,,65.64,76.79,63.29,80,57.84,
12/1/2018 17:30,,,,,,,,63.67,79.97,62,80,60,
12/1/2018 17:45,,,,,,,,64.12,76.68,62,80,60,
12/1/2018 18:00,,,,,,,,63.17,78.43,62,80,60,
