Date/Time,Seed I/O 1 - Indoor RH 1 Z3 (%),Seed I/O 1 - Indoor Temp 1 Z3 (°F),Seed I/O 1 - GH #3 PAR (PAR),Seed I/O 1 - Unit Heater,Seed I/O 1 - HAF Fans,Seed I/O 1 - Shutters Open,Seed I/O 1 - Roof Vent,Greenhouse #3 - Zone Temperature (°F),Greenhouse #3 - Zone Relative Humidity (%),Greenhouse #3 - Heating Setpoint (°F),Greenhouse #3 - Cooling Setpoint (°F),Greenhouse #3 - Rel Humidity Setpoint (%),
12/1/2018 01:00,95.89,55.91,0,60,60,0,0,55.9,95.95,55,80,70,
12/1/2018 01:15,88.94,57.74,0,0,60,0,0,57.74,88.94,55,80,70,
12/1/2018 01:30,93.38,55.67,0,59,59,0,0,55.67,93.38,55,80,70,
12/1/2018 01:45,88.16,57.83,0,0,60,0,0,57.83,88.16,55,80,70,
12/1/2018 02:00,94.31,55.81,0,60,60,0,0,55.81,94.31,55,80,70,
12/1/2018 02:15,88.7,57.21,0,0,59,0,0,57.21,88.71,55,80,70,
12/1/2018 02:30,93.63,58.13,0,0,59,0,0,58.13,93.63,55,80,70,
12/1/2018 02:45,90.65,56.64,0,0,59,0,0,56.64,90.65,55,80,70,
12/1/2018 03:00,93.95,57.88,0,0,59,0,0,57.88,93.95,55,80,70,
12/1/2018 03:15,90.75,56.34,0,0,59,0,0,56.34,90.75,55,80,70,
12/1/2018 03:30,90.24,59.21,0,0,60,0,0,59.21,90.24,55,80,70,
12/1/2018 03:45,91.02,57.26,0,0,60,0,0,57.26,91.02,55,80,70,
12/1/2018 04:00,94.09,56.62,0,0,60,0,0,56.62,94.09,55,80,70,
12/1/2018 04:15,96.05,55.99,0,7,60,0,0,55.99,96.05,55,80,70,
12/1/2018 04:30,94.41,57.01,0,0,60,0,0,57,94.41,55,80,70,
12/1/2018 04:45,94.16,57.15,0,0,60,0,0,57.15,94.16,55,80,70,
12/1/2018 05:00,93.68,57.52,0,0,60,0,0,57.52,93.68,55,80,70,
12/1/2018 05:15,98.61,56.39,0.06,0,60,0,0,56.39,98.61,55,80,70,
12/1/2018 05:30,94.61,57.9,0,0,60,0,0,57.9,94.61,55,80,70,
12/1/2018 05:45,98.64,56.34,0,0,54,0,0,56.34,98.63,55,80,70,
12/1/2018 06:00,92.64,58.47,0.13,0,60,0,0,58.47,92.64,55,80,70,
12/1/2018 06:15,98.13,56.48,0,0,60,0,0,56.48,98.13,55,80,70,
12/1/2018 06:30,99.03,56.03,0.24,0,60,0,0,56.03,99.02,55,80,70,
12/1/2018 06:45,99.68,56.83,0,0,60,0,0,56.82,99.69,55,80,70,
12/1/2018 07:00,92.38,61.09,0.04,0,60,0,0,61.09,92.38,56.49,80,65.04,
12/1/2018 07:15,91.71,60.03,0,0,60,0,0,60.03,91.7,58,80,60,
12/1/2018 07:30,93.18,59.57,0.19,0,60,0,0,59.57,93.18,58,80,60,
12/1/2018 07:45,94.4,59,0.93,8,60,0,0,58.99,94.4,58,80,60,
12/1/2018 08:00,94.29,59.6,151.31,0,60,0,0,59.59,94.29,58,80,60,
12/1/2018 08:15,91.78,61.2,249.02,0,60,0,0,61.2,91.78,58,80,60,
12/1/2018 08:30,90.48,61.76,257.59,0,60,0,0,61.76,90.48,58,80,60,
12/1/2018 08:45,88.95,62.53,267.09,39,60,0,0,62.53,88.96,61.5,80,57.5,
12/1/2018 09:00,78.54,69.62,300.56,0,60,0,0,69.62,78.54,65,80,55,
12/1/2018 09:15,85.9,66.08,331.07,37,60,0,0,66.07,85.9,65,80,55,
12/1/2018 09:30,83.69,66.55,342.89,0,53,0,0,66.55,83.69,65,80,55,
12/1/2018 09:45,80.75,69.16,453.54,0,60,0,0,69.16,80.75,65,80,55,
12/1/2018 10:00,73.89,73.96,492.22,0,53,0,0,73.96,73.89,65,80,55,
12/1/2018 10:15,70.99,77.66,518.61,0,60,0,0,77.66,70.99,65,80,55,
12/1/2018 10:30,68.05,80.56,544.4,0,55,0,0,80.55,68.04,65,80,55,
