Date/Time,Seed I/O 3 - Wind Direction (°),Seed I/O 3 - Outdoor RH (%),Seed I/O 3 - Outdoor Temp (°F),Seed I/O 3 - Outdoor PAR (PAR),Seed I/O 3 - Wind Speed (mph),Seed I/O 3 - Precipitation,Outside Weather Station - Zone Temperature (°F),Outside Weather Station - Zone Relative Humidity (%),Outside Weather Station - Zone VPD (kPa),Outside Weather Station - Zone Solar Intensity (PAR),Outside Weather Station - Zone CO2 (ppm),Outside Weather Station - Zone Wind Speed (mph),Outside Weather Station - Zone Wind Direction (°),Outside Weather Station - Zone Outside Precipitation,
12/1/2018 01:00,,,,,,,34.28,96.17,0.03,0,,0,337.5,,
12/1/2018 01:15,,,,,,,33.91,98.14,0.01,0,,0,22.5,,
12/1/2018 01:30,,,,,,,33.67,100.01,0.01,0,,0,0,,
12/1/2018 01:45,,,,,,,33.67,100.77,0,0,,0,22.5,,
12/1/2018 02:00,,,,,,,33.28,100.17,0,0,,0,22.5,,
12/1/2018 02:15,,,,,,,33.1,101.86,,0,,0,22.5,,
12/1/2018 02:30,,,,,,,33.05,103.43,,0,,0,22.5,,
12/1/2018 02:45,,,,,,,32.84,102.55,,0,,0,22.5,,
12/1/2018 03:00,,,,,,,32.66,102.85,,0,,0,22.5,,
12/1/2018 03:15,,,,,,,32.42,103.97,,0,,0,22.5,,
12/1/2018 03:30,,,,,,,32.59,106.97,,0,,0,22.5,,
12/1/2018 03:45,,,,,,,33.26,107.49,,0,,0,22.5,,
12/1/2018 04:00,,,,,,,34.17,104.88,,0,,0,45,,
12/1/2018 04:15,,,,,,,34.71,102.06,,0,,0,22.5,,
12/1/2018 04:30,,,,,,,34.87,102.13,,0,,0,22.5,,
12/1/2018 04:45,,,,,,,35.25,100.41,0,0,,0,22.5,,
12/1/2018 05:00,,,,,,,35.36,98.72,0.01,0,,0,22.5,,
12/1/2018 05:15,,,,,,,35.22,100.67,0,0,,0,22.5,,
12/1/2018 05:30,,,,,,,35.39,100.08,0,0,,0,67.5,,
12/1/2018 05:45,,,,,,,35.36,100.7,0,0,,0,0,,
12/1/2018 06:00,,,,,,,35.38,101.15,,0,,0,22.5,,
12/1/2018 06:15,,,,,,,35.53,101.56,,0,,0,22.5,,
12/1/2018 06:30,,,,,,,35.71,100.4,0,0,,0,22.5,,
